author,tags,title,url
Larry Beinhart,"George Floyd protests,Racism,United States,slavery",The US has reached a tipping point,https://www.aljazeera.com/amp/indepth/opinion/reached-tipping-point-200624154953995.html
Josefina Vidal Ferreiro,"Cuba,Coronavirus pandemic,United States,Latin America",Cuba's two pandemics: The coronavirus and the US embargo,https://www.aljazeera.com/amp/indepth/opinion/cuba-pandemics-coronavirus-embargo-200610120322400.html
Denijal Jegic,"Racism,Germany,Colonialism,Europe,Africa",Colonial discourses are stifling free speech in Germany,https://www.aljazeera.com/amp/indepth/opinion/colonial-discourses-stifling-free-speech-germany-200615143930756.html
Thabi Myeni,"Racism,George Floyd protests,South Africa",Black Lives Matter and the trap of performative activism,https://www.aljazeera.com/amp/indepth/opinion/black-lives-matter-trap-performative-activism-200619101229767.html
Tafi Mhaka,"Boris Johnson,Colonialism,United Kingdom,Racism,George Floyd protests",The problem with Boris Johnson's British morality,https://www.aljazeera.com/amp/indepth/opinion/problem-boris-johnson-british-morality-200619080315659.html
Ilyasah Shabazz,"Black Lives Matter protests,Racism,US & Canada",A message to Black Lives Matter protesters: Organise,https://www.aljazeera.com/amp/indepth/opinion/message-black-lives-matter-protesters-organise-200618141259865.html
Anuradha Bhasin,"India,Kashmir,Asia",Bringing the Israeli model to Kashmir,https://www.aljazeera.com/amp/indepth/opinion/bringing-israeli-model-kashmir-200614173626456.html
Marwan Bishara,"Donald Trump,United States,US & Canada",Trump is losing it,https://www.aljazeera.com/amp/indepth/opinion/trump-losing-200622100832289.html
Samuel Etienne ,"Racism,United Kingdom,Military,Black Lives Matter protests,Europe","The British invented racism, the Americans perfected it",https://www.aljazeera.com/amp/indepth/opinion/british-invented-racism-americans-perfected-200618164254147.html
Olamide Samuel,"Nuclear weapons,United States,Russia,China",The unintended consequences of Trump's nuclear gambit,https://www.aljazeera.com/amp/indepth/opinion/unintended-consequences-trump-nuclear-gambit-200618110654782.html
Roman Dobrokhotov,"Russia,Vladimir Putin,Europe",Putin's rating is collapsing as anger grows in Russia,https://www.aljazeera.com/amp/indepth/opinion/putin-facing-growing-anger-russia-200616190716489.html
"Mohammed Elnaiem,Mehmet Dosemeci","United States,Black Lives Matter protests,US & Canada",Black autonomy and lessons from the Black Power struggle,https://www.aljazeera.com/amp/indepth/opinion/black-autonomy-lessons-black-power-struggle-200621115758908.html
Edna Bonhomme,"US & Canada,Europe,Black Lives Matter protests,United States","George Floyd, a survivor's guilt and a global Black Lives Matter ",https://www.aljazeera.com/amp/indepth/opinion/george-floyd-survivor-guilt-global-black-lives-matter-200620181544441.html
Yoav Litvin,"Middle East,US & Canada,Black Lives Matter protests,Palestine,Boycott",Black Lives Matter and lessons from Palestine,https://www.aljazeera.com/amp/indepth/opinion/black-lives-matter-lessons-palestine-200621152130884.html
Andrew Mitrovica,"Hillary Clinton,United States,Donald Trump,US & Canada",Hillary Clinton was right,https://www.aljazeera.com/amp/indepth/opinion/hillary-clinton-200622145223784.html
"Sarah C Anderson-Rajarigam,Sunita Viswanath","India,United States,Islamophobia,Narendra Modi,Asia",Modi's India should be on the US's religious freedom blacklist,https://www.aljazeera.com/amp/indepth/opinion/modi-india-religious-freedom-blacklist-200622112650219.html
